Level,ISCO 08 Code,Title EN,Definition,Tasks include,Included occupations
1,1,Managers,"Managers plan, direct, coordinate and evaluate the overall activities of enterprises, governments and other organizations, or of organizational units within them, and formulate and review their policies, laws, rules and regulations. Competent performance in most occupations in this major group requires skills at the fourth ISCO skill level, except for Sub-major group 14: Hospitality, Retail and Other Services Managers, for which skills at the third ISCO skill level are generally required.","Tasks performed by managers usually include: formulating and advising on the policy, budgets, laws and regulations of enterprises, governments and other organizational units; establishing objectives and standards and formulating and evaluating programmes and policies and procedures for their implementation; ensuring appropriate systems and procedures are developed and implemented to provide budgetary control; authorising material, human and financial resources to implement policies and programmes; monitoring and evaluating performance of the organization or enterprise and of its staff; selecting or approving the selection of  staff; ensuring compliance with health and safety requirements; planning and directing daily operations; representing and negotiating on behalf of the government, enterprise or organizational unit managed in meetings and other forums.","Occupations in this major group are classified into the following sub-major groups:
11 Chief executives, Senior Officials and Legislators
12 Administrative and Commercial Managers
13 Production and Specialized Services Managers
14 Hospitality, Retail and Other Services Managers"
2,11,"Chief Executives, Senior Officials and Legislators","Chief executives, senior officials and legislators formulate and review the policies, and plan, direct, coordinate and evaluate the overall activities, of enterprises, governments and other organizations with the support of other managers. Competent performance in most occupations in this sub-major group requires skills at the fourth ISCO skill level.","Tasks performed by workers in this sub-major group usually include: presiding over or participating in the proceedings of legislative bodies, boards of directors and committees; formulating and advising on the policy budgets, laws and regulations of enterprises, governments and other organizations; establishing objectives for enterprises, government departments or agencies and other organizations; formulating or approving and evaluating programmes and policies and  procedures for their implementation; ensuring appropriate systems and procedures are developed and implemented to provide budgetary control; authorizing material, human and financial resources to implement policies and programmmes; monitoring and evaluating performance of the organization or enterprise; selecting or approving the selection of senior staff; performing ceremonial duties and representing the enterprise, government, organization or community at official occasions and in meetings, negotiations, conventions and public hearings.","Occupations in this sub-major group are classified into the following minor groups:
111 Legislators and Senior Officials
112 Managing Directors and Chief Executives"
2,12,Administrative and Commercial Managers,"Administrative and commercial managers plan, organize, direct, control and coordinate the financial, administrative, human resource, policy, planning, research and development, advertising, public relations, and sales and marketing activities of enterprises and organizations, or of enterprises that provide such services to other enterprises and organizations. Competent performance in most occupations in this sub-major group requires skills at the fourth ISCO skill level.","Tasks performed by workers in this sub-major group usually include: formulating and administering policy advice, strategic and financial planning; establishing and directing operational and administrative procedures; implementing, monitoring and evaluating strategies and policies; providing advice to senior Managers; directing the development of initiatives for new products, marketing, public relations and advertising campaigns; determining and directing sales activities, product mix, customer service standards; setting prices and credit arrangements; ensuring compliance with relevant legislation, regulations and standards; controlling selection, training and performance of staff; preparing budgets and overseeing financial operations; consulting with the chief executive and with managers of other departments or sections; controlling expenditure and ensuring the efficient use of resources; representing the enterprise or organization in negotiations, and at conventions, seminars, public hearings and forums.","Occupations in this sub-major group are classified into the following minor groups:
121 Business Services and Administration Managers
122 Sales, Marketing and Development Managers"
2,13,Production and Specialized Services Managers,"Production and specialized services managers plan direct and coordinate the production of the goods and the provision of the specialized professional and technical services provided by an enterprise or organization either as the manager of a department or as the general manager of an enterprise or organization that does not have a hierarchy of managers. They are responsible for manufacturing, mining, construction, logistics, information and communications technology operations, for large scale agricultural, forestry and fisheries operations, and for the provision of health, education, social welfare, banking, insurance and other professional and technical services. Competent performance in most occupations in this sub-major group requires skills at the fourth ISCO skill level.","Tasks performed by workers in this sub-major group usually include: planning details of activities in terms of output, services provided, quality, quantity, cost, timeliness and labour requirements; setting standards and objectives; controlling the operation of plant and of procedures; assuring quality of the goods produced and services provided; preparing tenders and contract bids; establishing and managing budgets, monitoring costs, and adjusting activities, procedures and resources to minimize costs; overseeing the acquisition and installation of new plant and equipment; coordinating the implementation of health and safety requirements; planning and directing daily operations; overseeing the selection, training and performance of staff; preparing, or arranging for the preparation of, reports, budgets and forecasts; representing the enterprise or organization in negotiations with other agencies, and at conventions, seminars, public hearings and forums.","Occupations in this sub-major group are classified into the following minor groups:
131 Production Managers in Agriculture, Forestry and Fisheries
132 Manufacturing, Mining, Construction, and Distribution Managers
133 Information and Communications Technology Service Managers
134 Professional Services Managers"
2,14,"Hospitality, Retail and Other Services Managers","Hospitality, shop and related services managers plan, organize and direct the operations of establishments which provide accommodation, hospitality, retail and other services. Competent performance in most occupations in this sub-major group requires skills at the third ISCO skill level.","Tasks performed by workers in this sub-major group usually include: planning and organizing special functions, sporting, gaming and entertainment activities and the range and mix of products, stock levels and service standards; promoting and selling goods and services; observing liquor, gaming, health and other laws and regulations; developing and reviewing policies, programmes and procedures concerning customer relations and goods and services provided; promoting facilities for conferences, conventions and trade shows to potential customers; organizing the purchase and maintenance of transport vehicles, equipment and fuel, and transporting goods; controlling the selection, training and supervision of staff; ensuring compliance with occupational health and safety regulations.","Occupations in this sub-major group are classified into the following minor groups:
141 Hotel and Restaurant Managers
142 Retail and Wholesale Trade Managers
143 Other Services Managers"
1,2,Professionals,Professionals increase the existing stock of knowledge; apply scientific or artistic concepts and theories; teach about the foregoing in a systematic manner; or engage in any combination of these activities. Competent performance in most occupations in this major group requires skills at the fourth ISCO skill level.,"Tasks performed by professionals usually include: conducting analysis and  research, and developing concepts, theories and operational methods; advising on or applying existing knowledge related to physical sciences, mathematics, engineering and technology, life sciences, medical and health services, social sciences and humanities; teaching the theory and practice of one or more disciplines at different educational levels; teaching and educating persons with learning difficulties or special needs; providing various business, legal and social services; creating and performing works of art; providing spiritual guidance; preparing scientific papers and reports. Supervision of other workers may be included.","Occupations in this major group are classified into the following sub-major groups:
21 Science and Engineering Professionals
22 Health Professionals
23 Teaching Professionals
24 Business and Administration Professionals
25 Information and Communications Technology Professionals
26 Legal, Social and Cultural Professionals"
2,21,Science and Engineering Professionals,"Science and engineering professionals conduct research, improve or develop concepts, theories and operational methods, or apply scientific knowledge relating to fields such as physics, astronomy, meteorology, chemistry, geophysics, geology, biology, ecology, pharmacology, medicine, mathematics, statistics, architecture, engineering, design and technology. Competent performance in most occupations in this sub-major group requires skills at the fourth ISCO skill level.","Tasks performed by workers in this sub-major group usually include: conducting research, enlarging, advising on or applying scientific knowledge obtained through the study of structures and properties of physical matter and phenomena, chemical characteristics and processes of various substances, materials and products, all forms of human, animal and plant life and of mathematical and statistical concepts and methods; advising on, designing and directing construction of buildings, towns and traffic systems, or civil engineering and industrial  structures, as well as machines and other equipment; advising on and applying mining methods and ensuring their optimum use; surveying land and  sea and making maps; studying and advising on technological aspects of particular materials, products and processes, and on efficiency of production and work organization; preparing scientific papers and reports. Supervision of other workers may be included.","Occupations in this sub-major group are classified into the following minor groups:
211 Physical and Earth Science Professionals
212 Mathematicians, Actuaries and Statisticians
213 Life Science Professionals 
214 Engineering Professionals (excluding Electrotechnology)
215 Electrotechnology Engineers
216 Architects, Planners, Surveyors and Designers"
2,22,Health Professionals,"Health professionals conduct research; improve or develop concepts, theories and operational methods; and apply scientific  knowledge relating to medicine, nursing, dentistry, veterinary medicine, pharmacy, and  promotion of health. Competent performance in most occupations in this sub-major group requires skills at the fourth ISCO skill level.","Tasks performed by workers in this sub-major group usually include: conducting research and obtaining scientific knowledge through the study of human and animal disorders and illnesses and ways of treating them; advising on or applying preventive and curative measures, or promoting health; preparing scientific papers and reports. Supervision of other workers may be included.","Occupations in this sub-major group are classified into the following minor groups:
221 Medical Doctors
222 Nursing and Midwifery Professionals
223 Traditional and Complementary Medicine Professionals
224 Paramedical Practitioners
225 Veterinarians
226 Other Health Professionals"
2,23,Teaching Professionals,"Teaching professionals teach the theory and practice of one or more  disciplines at different educational levels; conduct research; improve or develop concepts, theories and operational methods pertaining to their  particular discipline; and prepare scholarly papers and books. Competent performance in most occupations in this sub-major group requires skills at the fourth ISCO skill level.","Tasks performed by workers in this sub-major group usually include: conducting classes, courses or tutorials at a particular educational level for educational and vocational purposes, including private lessons; conducting adult literacy programmes; teaching and educating persons with learning difficulties or special needs; designing and modifying curricula; inspecting and advising on teaching methods and aids; participating in decisions concerning the organization of teaching and related activities at schools and universities; conducting research in particular subjects to improve or develop concepts, theories or operational methods for application in industrial and other fields; preparing scholarly papers and books. Supervision of other workers may be included.","Occupations in this sub-major group are classified into the following minor groups:
231 University and Higher Education Teachers
232 Vocational Education Teachers
233 Secondary Education Teachers 
234 Primary School and Early Childhood Teachers
235 Other Teaching Professionals"
2,24,Business and Administration Professionals,"Business and administration professionals perform analytical, conceptual and practical tasks to provide services in financial matters, human resource development, public relations, marketing and sales in the technical, medical, information and communication technology areas; and conduct, reviews of organizational structures, methods and systems as well as quantitative analyses of information affecting investment programmes. Competent performance in most occupations in this sub-major group requires skills at the fourth ISCO skill level.","Tasks performed by workers in this sub-major group usually include: collecting, analysing and interpreting information on the financial viability, cost structures and trading effectiveness of organizations; conducting audits, preparing financial statements and controlling treasury systems for organizations; developing and reviewing financial plans and strategies, executing buy and sell orders, and negotiating the purchase and sale of commodities; developing, implementing and evaluating staff recruitment, training and development programmes; researching, developing and implementing marketing and public relations campaigns; studying and developing methods and policies to improve and promote government and business operations and effectiveness; acquiring and updating knowledge of employers’ and competitors’ goods and services, and market conditions; assessing customers’ needs and explaining and demonstrating goods and services to them.","Occupations in this sub-major group are classified into the following minor groups:
241 Finance Professionals
242 Administration Professionals
243 Sales, Marketing and Public Relations Professionals"
